🕘️更新时间,#genre#
2025-10-29 18:30:09,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源

📺央视频道,#genre#
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8$订阅源
CCTV-3,http://1.31.14.70:54321/hls/6/index.m3u8$订阅源
CCTV-4,http://218.19.108.185:808/hls/3/index.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-4,http://218.19.108.170:808/hls/3/index.m3u8$订阅源
CCTV-5,http://124.128.73.58:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-6,http://1.31.14.70:54321/hls/8/index.m3u8$订阅源
CCTV-7,http://1.31.14.70:54321/hls/9/index.m3u8$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104$订阅源
CCTV-7,http://sh.lnott.top:880/dx07.m3u8$订阅源
CCTV-8,http://1.31.14.70:54321/hls/14/index.m3u8$订阅源
CCTV-8,http://sh.lnott.top:880/dx08.m3u8$订阅源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://218.19.108.185:808/hls/5/index.m3u8$订阅源
CCTV-9,http://1.31.14.70:54321/hls/10/index.m3u8$订阅源
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://218.19.108.170:808/hls/5/index.m3u8$订阅源
CCTV-10,http://1.31.14.70:54321/hls/11/index.m3u8$订阅源
CCTV-10,http://sh.lnott.top:880/dx10.m3u8$订阅源
CCTV-10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://1.31.14.70:54321/hls/16/index.m3u8$订阅源
CCTV-11,http://sh.lnott.top:880/dx11.m3u8$订阅源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://php.cqshushu.ggff.net/jzb.php?id=cctv12&公众号【医工学习日志】$订阅源
CCTV-12,http://1.31.14.70:54321/hls/12/index.m3u8$订阅源
CCTV-12,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-13,http://106.53.99.30/tv/cctv13.php$订阅源
CCTV-13,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】$订阅源
CCTV-13,http://1.31.14.70:54321/hls/19/index.m3u8$订阅源
CCTV-13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】$订阅源
CCTV-14,http://1.31.14.70:54321/hls/22/index.m3u8$订阅源
CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-14,http://zzssw01.55555.io:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-15,http://php.cqshushu.ggff.net/jzb.php?id=cctv15&公众号【医工学习日志】$订阅源
CCTV-15,http://sh.lnott.top:880/dx15.m3u8$订阅源
CCTV-15,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-15,http://zzssw01.55555.io:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-17,http://sh.lnott.top:880/dx17.m3u8$订阅源
CCTV-17,http://zqh2333.top:2222/rtp/239.93.24.92:5140$订阅源
CETV-1,http://117.174.25.254:8188/rtp/239.0.0.51:5140$订阅源
CETV-2,http://117.174.25.254:8188/rtp/239.0.0.196:5140$订阅源
CETV-4,http://117.174.25.254:8188/rtp/239.0.0.98:5140$订阅源
CETV-4,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001$订阅源

💰央视付费频道,#genre#
文化精品,http://218.8.87.96:4000/rtp/229.58.190.189:5000$订阅源
风云音乐,http://218.8.87.96:4000/rtp/229.58.190.190:5000$订阅源
第一剧场,http://218.8.87.96:4000/rtp/229.58.190.21:5000$订阅源
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil$订阅源
高尔夫网球,rtsp://115.153.247.80/PLTV/88888888/224/3221226967/86128985.smil$订阅源
高尔夫网球,rtsp://115.153.222.112:554/PLTV/88888888/224/3221226967/86128985.smil$订阅源
兵器科技,http://218.8.87.96:4000/rtp/229.58.190.29:5000$订阅源

📡卫视频道,#genre#
广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4$订阅源
广东卫视,http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8$订阅源
广东卫视,http://1.31.14.70:54321/hls/28/index.m3u8$订阅源
广东卫视,http://pa.kuangdeng.top:8081/hls/17/index.m3u8$订阅源
广东卫视,http://60.16.0.216:5757/hls/20/index.m3u8$订阅源
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$订阅源
浙江卫视,http://pa.kuangdeng.top:8081/hls/18/index.m3u8$订阅源
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
浙江卫视,http://183.222.242.31:8088/hls/20/index.m3u8$订阅源
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8$订阅源
湖南卫视,http://pa.kuangdeng.top:8081/hls/16/index.m3u8$订阅源
湖南卫视,http://60.16.0.216:5757/hls/21/index.m3u8$订阅源
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖南卫视,http://183.222.242.31:8088/hls/18/index.m3u8$订阅源
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$订阅源
北京卫视,http://ygbh.site/php/bfgd.php?id=083$订阅源
北京卫视,http://sh.lnott.top:880/dx29.m3u8$订阅源
北京卫视,http://60.16.0.216:5757/hls/25/index.m3u8$订阅源
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://183.222.242.31:8088/hls/22/index.m3u8$订阅源
北京卫视,http://zzssw01.55555.io:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖北卫视,http://satellitepull.cnr.cn/live/wx32hubws/playlist.m3u8$订阅源
湖北卫视,http://ygbh.site/php/bfgd.php?id=102$订阅源
湖北卫视,http://1.31.14.70:54321/hls/39/index.m3u8$订阅源
湖北卫视,http://www.745612.xyz:7788/rtp/235.254.198.72:1564$订阅源
湖北卫视,http://60.16.0.216:5757/hls/33/index.m3u8$订阅源
湖北卫视,http://116.128.242.83:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖北卫视,http://183.222.242.31:8088/hls/28/index.m3u8$订阅源
黑龙江卫视,http://satellitepull.cnr.cn/live/wx32hljws/playlist.m3u8$订阅源
黑龙江卫视,http://113.106.171.234:8899/rtp/239.20.0.91:3036$订阅源
黑龙江卫视,http://pa.kuangdeng.top:8081/hls/22/index.m3u8$订阅源
